file,code,label
CWE197_Numeric_Truncation_Error__int_fgets_to_short_68a.c,"    data = -1;
",1
CWE190_Integer_Overflow__char_max_multiply_34.c,"            char result = data * 2;
",1
CWE190_Integer_Overflow__int_connect_socket_square_01.c,"        int result = data * data;
",1
CWE457_Use_of_Uninitialized_Variable__int64_t_12.c,"        printLongLongLine(data);
",1
CWE190_Integer_Overflow__char_rand_multiply_07.c,"            char result = data * 2;
",1
CWE190_Integer_Overflow__short_rand_preinc_67a.c,"    short data;
",1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_83_bad.cpp,"    fprintf(stdout, data);
",1
CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_01.c,"            printDoubleLine(data[i]);
",1
CWE415_Double_Free__new_delete_class_05.cpp,"        delete data;
",1
CWE690_NULL_Deref_From_Return__char_realloc_72a.cpp,"    char * data;
",1
CWE78_OS_Command_Injection__char_listen_socket_execl_33.cpp,"        EXECL(COMMAND_INT_PATH, COMMAND_INT_PATH, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_declare_partial_init_14.cpp,"            printIntLine(data[i].intOne);
",1
CWE190_Integer_Overflow__short_fscanf_square_04.c,"            short result = data * data;
",1
CWE190_Integer_Overflow__int64_t_fscanf_multiply_66a.c,"    int64_t dataArray[5];
",1
CWE190_Integer_Overflow__char_max_square_05.c,"            char result = data * data;
",1
CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_32.c,"        vfprintf(stdout, data, args);
",1
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_malloc_partial_init_09.cpp,"            printIntLine(data[i].intOne);
",1
CWE190_Integer_Overflow__char_rand_multiply_84_bad.cpp,"        char result = data * 2;
",1
CWE369_Divide_by_Zero__float_fgets_08.c,"            int result = (int)(100.0 / data);
",1
CWE690_NULL_Deref_From_Return__int64_t_realloc_11.c,"        data[0] = 5LL;
",1
CWE190_Integer_Overflow__int_fgets_add_62a.cpp,"        int result = data + 1;
",1
CWE415_Double_Free__new_delete_array_class_81a.cpp,"    TwoIntsClass * data;
",1
CWE78_OS_Command_Injection__char_file_execlp_32.c,"        EXECLP(COMMAND_INT, COMMAND_INT, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE190_Integer_Overflow__int64_t_rand_preinc_10.c,"            ++data;
",1
CWE252_Unchecked_Return_Value__char_remove_18.c,"    REMOVE(""removemebad.txt"");
",1
CWE78_OS_Command_Injection__char_console_execl_31.c,"        EXECL(COMMAND_INT_PATH, COMMAND_INT_PATH, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE134_Uncontrolled_Format_String__char_file_printf_06.c,"        printf(data);
",1
CWE252_Unchecked_Return_Value__char_fwrite_04.c,"        fwrite((char *)""string"", sizeof(char), strlen(""string""), stdout);
",1
CWE78_OS_Command_Injection__char_connect_socket_system_83_bad.cpp,"    if (SYSTEM(data) != 0)
",1
CWE401_Memory_Leak__malloc_realloc_int64_t_04.c,"            data = (int64_t *)realloc(data, (130000)*sizeof(int64_t));
",1
CWE190_Integer_Overflow__int_fscanf_preinc_42.c,"        ++data;
",1
CWE415_Double_Free__new_delete_array_int_04.cpp,"        delete [] data;
",1
CWE476_NULL_Pointer_Dereference__struct_18.c,"    printIntLine(data->intOne);
",1
CWE78_OS_Command_Injection__char_environment_execl_04.c,"    EXECL(COMMAND_INT_PATH, COMMAND_INT_PATH, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_31.c,"        vfprintf(stdout, data, args);
",1
CWE457_Use_of_Uninitialized_Variable__twointsclass_12.cpp,"        printIntLine(data.intTwo);
",1
CWE676_Use_of_Potentially_Dangerous_Function__basic_06.cpp,"            cin >> charBuffer;
",1
CWE690_NULL_Deref_From_Return__struct_realloc_83_bad.cpp,"    data[0].intOne = 1;
",1
CWE590_Free_Memory_Not_on_Heap__delete_int64_t_placement_new_45.cpp,"    delete data;
",1
CWE590_Free_Memory_Not_on_Heap__free_long_alloca_12.c,"    free(data);
",1
CWE415_Double_Free__new_delete_class_32.cpp,"        delete data;
",1
CWE476_NULL_Pointer_Dereference__null_check_after_deref_03.c,"            if (intPointer != NULL)
",1
CWE590_Free_Memory_Not_on_Heap__free_int64_t_alloca_14.c,"    free(data);
",1
CWE78_OS_Command_Injection__char_environment_execl_83_bad.cpp,"    EXECL(COMMAND_INT_PATH, COMMAND_INT_PATH, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE190_Integer_Overflow__int_listen_socket_add_32.c,"            int result = data + 1;
",1
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_partial_init_12.c,"                printIntLine(data[i]);
",1
CWE590_Free_Memory_Not_on_Heap__free_int64_t_declare_65a.c,"{
",1
CWE190_Integer_Overflow__unsigned_int_fscanf_add_18.c,"        unsigned int result = data + 1;
",1
CWE690_NULL_Deref_From_Return__struct_calloc_21.c,"        data[0].intTwo = 1;
",1
CWE369_Divide_by_Zero__int_zero_divide_44.c,"    printIntLine(100 / data);
",1
CWE78_OS_Command_Injection__char_environment_execl_11.c,"    EXECL(COMMAND_INT_PATH, COMMAND_INT_PATH, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE197_Numeric_Truncation_Error__int_listen_socket_to_short_04.c,"        short shortData = (short)data;
",1
CWE690_NULL_Deref_From_Return__char_calloc_67a.c,"{
",1
CWE369_Divide_by_Zero__int_fgets_modulo_06.c,"        printIntLine(100 % data);
",1
CWE197_Numeric_Truncation_Error__short_fscanf_81_bad.cpp,"        char charData = (char)data;
",1
CWE78_OS_Command_Injection__char_console_execlp_02.c,"    EXECLP(COMMAND_INT, COMMAND_INT, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_82_bad.cpp,"        char charData = (char)data;
",1
CWE415_Double_Free__new_delete_struct_33.cpp,"        delete data;
",1
CWE190_Integer_Overflow__unsigned_int_rand_multiply_22a.c,"    data = (unsigned int)RAND32();
",1
CWE415_Double_Free__new_delete_long_16.cpp,"        delete data;
",1
CWE563_Unused_Variable__unused_value_struct_07.c,"        data.intOne = 1;
",1
CWE190_Integer_Overflow__int_connect_socket_add_17.c,"            int result = data + 1;
",1
CWE590_Free_Memory_Not_on_Heap__delete_struct_static_73a.cpp,"    list<twoIntsStruct *> dataList;
",1
CWE197_Numeric_Truncation_Error__int_listen_socket_to_short_32.c,"            short shortData = (short)data;
",1
CWE190_Integer_Overflow__short_rand_postinc_11.c,"            data++;
",1
CWE190_Integer_Overflow__char_rand_preinc_31.c,"            ++data;
",1
CWE690_NULL_Deref_From_Return__char_malloc_82_bad.cpp,"    strcpy(data, ""Initialize"");
",1
CWE401_Memory_Leak__new_struct_twoIntsStruct_66a.cpp,"{
",1
